"German Word","Article (der/die/das)","Part of Speech","English Translation","German Example Sentence","English Example Sentence","Category","Difficulty"
"Essen","das","noun","food / meal","Das Essen schmeckt sehr gut.","The food tastes very good.","Food & Drink","A1.1"
"Trinken","das","noun","drink / drinking","Das Trinken ist wichtig.","Drinking is important.","Food & Drink","A1.1"
"Frühstück","das","noun","breakfast","Ich esse Frühstück um acht Uhr.","I eat breakfast at eight o'clock.","Food & Drink","A1.1"
"Mittagessen","das","noun","lunch","Wir essen Mittagessen um zwölf Uhr.","We eat lunch at twelve o'clock.","Food & Drink","A1.1"
"Abendessen","das","noun","dinner / supper","Das Abendessen ist fertig.","Dinner is ready.","Food & Drink","A1.1"
"Brot","das","noun","bread","Ich kaufe Brot beim Bäcker.","I buy bread at the bakery.","Food & Drink","A1.1"
"Brötchen","das","noun","bread roll","Zum Frühstück esse ich ein Brötchen.","For breakfast I eat a bread roll.","Food & Drink","A1.3"
"Brötchen","die","noun (pl)","bread rolls","Ich kaufe fünf Brötchen.","I buy five bread rolls.","Food & Drink","A1.3"
"Butter","die","noun","butter","Ich streichle Butter auf das Brot.","I spread butter on the bread.","Food & Drink","A1.1"
"Käse","der","noun","cheese","Ich mag Käse sehr gern.","I like cheese very much.","Food & Drink","A1.1"
"Wurst","die","noun","sausage / cold meat","Ich esse Wurst zum Frühstück.","I eat sausage for breakfast.","Food & Drink","A1.3"
"Würste","die","noun (pl)","sausages","Es gibt verschiedene Würste.","There are various sausages.","Food & Drink","A1.3"
"Fleisch","das","noun","meat","Ich esse gern Fleisch.","I like eating meat.","Food & Drink","A1.1"
"Fisch","der","noun","fish","Freitags essen wir oft Fisch.","On Fridays we often eat fish.","Food & Drink","A1.3"
"Gemüse","das","noun","vegetables","Ich esse jeden Tag Gemüse.","I eat vegetables every day.","Food & Drink","A1.1"
"Salat","der","noun","salad / lettuce","Ich mache einen Salat.","I'm making a salad.","Food & Drink","A1.3"
"Suppe","die","noun","soup","Die Suppe ist heiß.","The soup is hot.","Food & Drink","A1.3"
"Reis","der","noun","rice","Ich koche Reis zum Abendessen.","I cook rice for dinner.","Food & Drink","A1.3"
"Nudeln","die","noun (pl)","pasta / noodles","Ich esse gern Nudeln.","I like eating pasta.","Food & Drink","A1.3"
"Kartoffel","die","noun","potato","Die Kartoffel ist ein Gemüse.","The potato is a vegetable.","Food & Drink","A1.3"
"Kartoffeln","die","noun (pl)","potatoes","Wir essen Kartoffeln zum Mittag.","We eat potatoes for lunch.","Food & Drink","A1.3"
"Obst","das","noun","fruit","Ich esse jeden Tag Obst.","I eat fruit every day.","Food & Drink","A1.1"
"Apfel","der","noun","apple","Ein Apfel pro Tag ist gesund.","An apple a day is healthy.","Food & Drink","A1.1"
"Äpfel","die","noun (pl)","apples","Ich kaufe drei Äpfel.","I buy three apples.","Food & Drink","A1.1"
"Banane","die","noun","banana","Die Banane ist reif.","The banana is ripe.","Food & Drink","A1.1"
"Bananen","die","noun (pl)","bananas","Ich kaufe vier Bananen.","I buy four bananas.","Food & Drink","A1.1"
"Orange","die","noun","orange","Ich trinke Orangensaft.","I drink orange juice.","Food & Drink","A1.3"
"Orangen","die","noun (pl)","oranges","Wir essen zwei Orangen.","We eat two oranges.","Food & Drink","A1.3"
"Tomate","die","noun","tomato","Die Tomate ist rot.","The tomato is red.","Food & Drink","A1.3"
"Tomaten","die","noun (pl)","tomatoes","Ich kaufe drei Tomaten.","I buy three tomatoes.","Food & Drink","A1.3"
"Ei","das","noun","egg","Ich esse ein Ei zum Frühstück.","I eat an egg for breakfast.","Food & Drink","A1.1"
"Eier","die","noun (pl)","eggs","Ich brauche drei Eier für den Kuchen.","I need three eggs for the cake.","Food & Drink","A1.1"
"Milch","die","noun","milk","Ich trinke morgens Milch.","I drink milk in the morning.","Food & Drink","A1.1"
"Joghurt","der/das","noun","yoghurt","Ich esse Joghurt zum Frühstück.","I eat yoghurt for breakfast.","Food & Drink","A1.3"
"Sahne","die","noun","cream","Die Torte hat viel Sahne.","The cake has a lot of cream.","Food & Drink","A1.3"
"Zucker","der","noun","sugar","Möchten Sie Zucker im Kaffee?","Would you like sugar in your coffee?","Food & Drink","A1.2"
"Salz","das","noun","salt","Kann ich bitte das Salz haben?","Can I please have the salt?","Food & Drink","A1.2"
"Öl","das","noun","oil","Ich brauche Öl für die Pfanne.","I need oil for the pan.","Food & Drink","A1.3"
"Kaffee","der","noun","coffee","Ich trinke morgens Kaffee.","I drink coffee in the morning.","Food & Drink","A1.1"
"Tee","der","noun","tea","Möchtest du Tee oder Kaffee?","Would you like tea or coffee?","Food & Drink","A1.1"
"Wasser","das","noun","water","Ich trinke viel Wasser.","I drink a lot of water.","Food & Drink","A1.1"
"Saft","der","noun","juice","Ich trinke einen Apfelsaft.","I drink an apple juice.","Food & Drink","A1.3"
"Bier","das","noun","beer","Er trinkt ein Bier.","He drinks a beer.","Food & Drink","A1.3"
"Wein","der","noun","wine","Wir trinken ein Glas Wein.","We drink a glass of wine.","Food & Drink","A1.3"
"Kuchen","der","noun","cake","Ich backe einen Kuchen.","I'm baking a cake.","Food & Drink","A1.3"
"Eis","das","noun","ice cream / ice","Ich esse gern Eis im Sommer.","I like eating ice cream in summer.","Food & Drink","A1.3"
"Schokolade","die","noun","chocolate","Ich mag Schokolade sehr.","I like chocolate very much.","Food & Drink","A1.3"
"Restaurant","das","noun","restaurant","Wir essen im Restaurant.","We eat in the restaurant.","Food & Drink","A1.1"
"Restaurants","die","noun (pl)","restaurants","Wir kennen viele gute Restaurants.","We know many good restaurants.","Food & Drink","A1.1"
"Speisekarte","die","noun","menu","Kann ich die Speisekarte haben?","Can I have the menu?","Food & Drink","A1.3"
"Speisekarten","die","noun (pl)","menus","Die Kellner bringen die Speisekarten.","The waiters bring the menus.","Food & Drink","A1.3"
"Rechnung","die","noun","bill","Die Rechnung, bitte!","The bill, please!","Food & Drink","A1.3"
"Rechnungen","die","noun (pl)","bills / invoices","Ich bezahle alle Rechnungen.","I pay all the bills.","Food & Drink","A1.3"
"Portion","die","noun","portion","Eine Portion Pommes, bitte.","One portion of chips, please.","Food & Drink","A1.3"
"Portionen","die","noun (pl)","portions","Wir bestellen zwei Portionen.","We order two portions.","Food & Drink","A1.3"
"vegetarisch","","adj","vegetarian","Ich esse vegetarisch.","I eat vegetarian food.","Food & Drink","A1.3"
"kaufen","","verb","to buy","Ich kaufe Lebensmittel im Supermarkt.","I buy groceries at the supermarket.","Shopping","A1.1"
"verkaufen","","verb","to sell","Er verkauft sein Auto.","He is selling his car.","Shopping","A1.3"
"bezahlen","","verb","to pay","Ich möchte bitte bezahlen.","I would like to pay, please.","Shopping","A1.1"
"kosten","","verb","to cost","Was kostet das?","How much does that cost?","Shopping","A1.1"
"Preis","der","noun","price","Der Preis ist zu hoch.","The price is too high.","Shopping","A1.1"
"billig","","adj","cheap","Das ist sehr billig.","That is very cheap.","Shopping","A1.1"
"teuer","","adj","expensive","Das ist zu teuer.","That is too expensive.","Shopping","A1.1"
"Geld","das","noun","money","Ich habe kein Geld.","I have no money.","Shopping","A1.1"
"Euro","der","noun","euro","Das kostet zehn Euro.","That costs ten euros.","Shopping","A1.1"
"Cent","der","noun","cent","Das kostet neunzig Cent.","That costs ninety cents.","Shopping","A1.1"
"Kasse","die","noun","checkout / cash desk","Bitte bezahlen Sie an der Kasse.","Please pay at the checkout.","Shopping","A1.1"
"Supermarkt","der","noun","supermarket","Ich gehe in den Supermarkt.","I am going to the supermarket.","Shopping","A1.1"
"Geschäft","das","noun","shop / business","Das Geschäft macht um acht Uhr auf.","The shop opens at eight o'clock.","Shopping","A1.1"
"Laden","der","noun","shop / store","Der Laden ist heute geschlossen.","The shop is closed today.","Shopping","A1.3"
"Markt","der","noun","market","Ich kaufe Gemüse auf dem Markt.","I buy vegetables at the market.","Shopping","A1.3"
"Bäcker","der","noun","baker (male) / bakery","Ich kaufe Brot beim Bäcker.","I buy bread at the bakery.","Shopping","A1.3"
"Bäckerin","die","noun","baker (female)","Die Bäckerin macht frische Brötchen.","The baker (female) makes fresh rolls.","Shopping","A1.3"
"Metzger","der","noun","butcher (male)","Ich kaufe Fleisch beim Metzger.","I buy meat at the butcher's.","Shopping","A1.3"
"Metzgerin","die","noun","butcher (female)","Die Metzgerin empfiehlt das Steak.","The butcher (female) recommends the steak.","Shopping","A1.3"
"Einkauf","der","noun","shopping / purchase","Ich mache meinen Einkauf.","I'm doing my shopping.","Shopping","A1.3"
"Einkäufe","die","noun (pl)","shopping (items)","Ich trage die Einkäufe nach Hause.","I'm carrying the shopping home.","Shopping","A1.3"
"Einkaufstasche","die","noun","shopping bag","Ich brauche eine Einkaufstasche.","I need a shopping bag.","Shopping","A1.3"
"Einkaufstaschen","die","noun (pl)","shopping bags","Ich brauche zwei Einkaufstaschen.","I need two shopping bags.","Shopping","A1.3"
"Quittung","die","noun","receipt","Kann ich eine Quittung haben?","Can I have a receipt?","Shopping","A1.3"
"Quittungen","die","noun (pl)","receipts","Bitte bewahren Sie die Quittungen auf.","Please keep the receipts.","Shopping","A1.3"
"Sonderangebot","das","noun","special offer","Das ist heute im Sonderangebot.","That is on special offer today.","Shopping","A1.3"
"Sonderangebote","die","noun (pl)","special offers","Heute gibt es viele Sonderangebote.","Today there are many special offers.","Shopping","A1.3"
"Rabatt","der","noun","discount","Gibt es einen Rabatt?","Is there a discount?","Shopping","A1.3"
"Größe","die","noun","size","Was ist Ihre Größe?","What is your size?","Shopping","A1.3"
"Größen","die","noun (pl)","sizes","Die Hose gibt es in verschiedenen Größen.","The trousers are available in various sizes.","Shopping","A1.3"
"Kleidung","die","noun","clothing","Ich kaufe neue Kleidung.","I am buying new clothes.","Shopping","A1.3"
"Jacke","die","noun","jacket","Ich brauche eine warme Jacke.","I need a warm jacket.","Shopping","A1.3"
"Jacken","die","noun (pl)","jackets","Die Jacken sind sehr günstig.","The jackets are very affordable.","Shopping","A1.3"
"Hose","die","noun","trousers / pants","Die Hose ist zu lang.","The trousers are too long.","Shopping","A1.3"
"Hosen","die","noun (pl)","pairs of trousers","Ich probiere zwei Hosen an.","I try on two pairs of trousers.","Shopping","A1.3"
"Hemd","das","noun","shirt","Das Hemd ist weiß.","The shirt is white.","Shopping","A1.3"
"Hemden","die","noun (pl)","shirts","Er hat drei Hemden gekauft.","He bought three shirts.","Shopping","A1.3"
"Bluse","die","noun","blouse","Die Bluse ist sehr schön.","The blouse is very beautiful.","Shopping","A1.3"
"Blusen","die","noun (pl)","blouses","Die Blusen sind sehr schön.","The blouses are very beautiful.","Shopping","A1.3"
"Rock","der","noun","skirt","Der Rock ist zu kurz.","The skirt is too short.","Shopping","A1.3"
"Kleid","das","noun","dress","Das Kleid ist sehr elegant.","The dress is very elegant.","Shopping","A1.3"
"Kleider","die","noun (pl)","dresses","Die Kleider sind elegant.","The dresses are elegant.","Shopping","A1.3"
"Schuhe","die","noun (pl)","shoes","Ich brauche neue Schuhe.","I need new shoes.","Shopping","A1.3"
"Stiefel","die","noun (pl)","boots","Im Winter trage ich Stiefel.","In winter I wear boots.","Shopping","A1.3"
"Mütze","die","noun","hat / beanie","Ich trage eine Mütze.","I'm wearing a hat.","Shopping","A1.3"
"Mützen","die","noun (pl)","hats / beanies","Im Winter tragen wir Mützen.","In winter we wear hats.","Shopping","A1.3"
"Wohnung","die","noun","flat / apartment","Ich suche eine Wohnung.","I'm looking for a flat.","Home & Living","A1.1"
"Wohnungen","die","noun (pl)","flats / apartments","Die Wohnungen sind sehr teuer.","The flats are very expensive.","Home & Living","A1.1"
"Haus","das","noun","house","Wir wohnen in einem Haus.","We live in a house.","Home & Living","A1.1"
"Häuser","die","noun (pl)","houses","Die Häuser sind sehr groß.","The houses are very big.","Home & Living","A1.1"
"Zimmer","das","noun","room","Die Wohnung hat drei Zimmer.","The flat has three rooms.","Home & Living","A1.1"
"Zimmer","die","noun (pl)","rooms","Die Wohnung hat vier Zimmer.","The flat has four rooms.","Home & Living","A1.1"
"Schlafzimmer","das","noun","bedroom","Das Schlafzimmer ist ruhig.","The bedroom is quiet.","Home & Living","A1.1"
"Wohnzimmer","das","noun","living room","Wir sitzen im Wohnzimmer.","We are sitting in the living room.","Home & Living","A1.1"
"Küche","die","noun","kitchen","Ich koche in der Küche.","I cook in the kitchen.","Home & Living","A1.1"
"Badezimmer","das","noun","bathroom","Das Badezimmer ist klein.","The bathroom is small.","Home & Living","A1.1"
"Toilette","die","noun","toilet","Wo ist die Toilette?","Where is the toilet?","Home & Living","A1.2"
"Flur","der","noun","hallway / corridor","Die Jacke hängt im Flur.","The jacket hangs in the hallway.","Home & Living","A1.3"
"Keller","der","noun","cellar / basement","Im Keller stehen alte Möbel.","Old furniture is in the cellar.","Home & Living","A1.3"
"Keller","die","noun (pl)","cellars / basements","Die Häuser haben große Keller.","The houses have large cellars.","Home & Living","A1.3"
"Garten","der","noun","garden","Ich sitze im Garten.","I'm sitting in the garden.","Home & Living","A1.3"
"Gärten","die","noun (pl)","gardens","Die Gärten hier sind sehr schön.","The gardens here are very beautiful.","Home & Living","A1.3"
"Balkon","der","noun","balcony","Wir frühstücken auf dem Balkon.","We have breakfast on the balcony.","Home & Living","A1.3"
"Tür","die","noun","door","Bitte machen Sie die Tür zu.","Please close the door.","Home & Living","A1.1"
"Türen","die","noun (pl)","doors","Bitte schließen Sie alle Türen.","Please close all the doors.","Home & Living","A1.1"
"Fenster","das","noun","window","Öffne bitte das Fenster.","Please open the window.","Home & Living","A1.1"
"Fenster","die","noun (pl)","windows","Öffne bitte die Fenster.","Please open the windows.","Home & Living","A1.1"
"Wand","die","noun","wall","Das Bild hängt an der Wand.","The picture hangs on the wall.","Home & Living","A1.3"
"Boden","der","noun","floor / ground","Der Boden ist sauber.","The floor is clean.","Home & Living","A1.3"
"Decke","die","noun","ceiling / blanket","Die Decke ist weiß.","The ceiling is white.","Home & Living","A1.3"
"Treppe","die","noun","stairs","Gehen Sie die Treppe hoch.","Go up the stairs.","Home & Living","A1.3"
"Aufzug","der","noun","lift / elevator","Der Aufzug ist kaputt.","The lift is broken.","Home & Living","A1.3"
"Möbel","die","noun (pl)","furniture","Wir kaufen neue Möbel.","We are buying new furniture.","Home & Living","A1.2"
"Tisch","der","noun","table","Das Essen steht auf dem Tisch.","The food is on the table.","Home & Living","A1.1"
"Tische","die","noun (pl)","tables","Wir haben vier Tische im Büro.","We have four tables in the office.","Home & Living","A1.1"
"Stuhl","der","noun","chair","Setzen Sie sich auf den Stuhl.","Sit down on the chair.","Home & Living","A1.1"
"Stühle","die","noun (pl)","chairs","Wir haben sechs Stühle.","We have six chairs.","Home & Living","A1.1"
"Sofa","das","noun","sofa","Ich sitze auf dem Sofa.","I'm sitting on the sofa.","Home & Living","A1.3"
"Bett","das","noun","bed","Ich gehe jetzt ins Bett.","I'm going to bed now.","Home & Living","A1.3"
"Schrank","der","noun","cupboard / wardrobe","Die Kleidung hängt im Schrank.","The clothes are hanging in the wardrobe.","Home & Living","A1.3"
"Schränke","die","noun (pl)","cupboards / wardrobes","Die Schränke sind voll.","The cupboards are full.","Home & Living","A1.3"
"Regal","das","noun","shelf","Bücher stehen im Regal.","Books are on the shelf.","Home & Living","A1.3"
"Regale","die","noun (pl)","shelves","Die Regale sind voller Bücher.","The shelves are full of books.","Home & Living","A1.3"
"Lampe","die","noun","lamp / light","Die Lampe ist kaputt.","The lamp is broken.","Home & Living","A1.3"
"Lampen","die","noun (pl)","lamps","Im Wohnzimmer gibt es zwei Lampen.","There are two lamps in the living room.","Home & Living","A1.3"
"Kühlschrank","der","noun","fridge","Das Essen ist im Kühlschrank.","The food is in the fridge.","Home & Living","A1.3"
"Herd","der","noun","cooker / stove","Ich koche auf dem Herd.","I cook on the stove.","Home & Living","A1.3"
"Waschmaschine","die","noun","washing machine","Ich mache eine Wäsche.","I'm doing the laundry.","Home & Living","A1.3"
"Miete","die","noun","rent","Die Miete ist sehr hoch.","The rent is very high.","Home & Living","A1.3"
"Nebenkosten","die","noun (pl)","utility costs / additional charges","Die Nebenkosten kommen dazu.","The utility costs are extra.","Home & Living","A1.3"
"Stock","der","noun","floor / storey","Ich wohne im dritten Stock.","I live on the third floor.","Home & Living","A1.3"
"Nachbar","der","noun","neighbour (male)","Mein Nachbar ist sehr nett.","My neighbour is very nice.","Home & Living","A1.3"
"Nachbarn","die","noun (pl)","neighbours (male/mixed)","Meine Nachbarn sind sehr nett.","My neighbours are very nice.","Home & Living","A1.3"
"Nachbarin","die","noun","neighbour (female)","Meine Nachbarin hat mir geholfen.","My neighbour (female) helped me.","Home & Living","A1.3"
"Nachbarinnen","die","noun (pl)","neighbours (female)","Meine Nachbarinnen haben mir geholfen.","My female neighbours helped me.","Home & Living","A1.3"
"Vermieter","der","noun","landlord","Der Vermieter repariert das Fenster.","The landlord repairs the window.","Home & Living","A1.3"
"Vermieterin","die","noun","landlady","Die Vermieterin ist sehr freundlich.","The landlady is very friendly.","Home & Living","A1.3"
"Auto","das","noun","car","Ich fahre mit dem Auto zur Arbeit.","I drive to work by car.","Transport & Travel","A1.1"
"Autos","die","noun (pl)","cars","Auf der Straße sind viele Autos.","There are many cars on the road.","Transport & Travel","A1.1"
"Bus","der","noun","bus","Ich fahre mit dem Bus.","I travel by bus.","Transport & Travel","A1.1"
"Busse","die","noun (pl)","buses","Die Busse kommen alle zehn Minuten.","The buses come every ten minutes.","Transport & Travel","A1.1"
"Zug","der","noun","train","Der Zug fährt um acht Uhr ab.","The train departs at eight o'clock.","Transport & Travel","A1.1"
"Züge","die","noun (pl)","trains","Die Züge fahren pünktlich ab.","The trains depart on time.","Transport & Travel","A1.1"
"U-Bahn","die","noun","underground / subway","Ich fahre mit der U-Bahn.","I travel by underground.","Transport & Travel","A1.3"
"S-Bahn","die","noun","suburban railway","Die S-Bahn kommt in fünf Minuten.","The S-Bahn comes in five minutes.","Transport & Travel","A1.3"
"Straßenbahn","die","noun","tram","Ich nehme die Straßenbahn.","I take the tram.","Transport & Travel","A1.3"
"Taxi","das","noun","taxi","Ich rufe ein Taxi.","I call a taxi.","Transport & Travel","A1.1"
"Taxis","die","noun (pl)","taxis","Vor dem Hotel warten viele Taxis.","Many taxis are waiting in front of the hotel.","Transport & Travel","A1.1"
"Fahrrad","das","noun","bicycle","Ich fahre mit dem Fahrrad zur Schule.","I cycle to school.","Transport & Travel","A1.3"
"Flugzeug","das","noun","aeroplane","Ich fliege mit dem Flugzeug.","I travel by plane.","Transport & Travel","A1.3"
"Schiff","das","noun","ship","Wir fahren mit dem Schiff.","We travel by ship.","Transport & Travel","A1.3"
"Bahnhof","der","noun","train station","Wo ist der Bahnhof?","Where is the train station?","Transport & Travel","A1.1"
"Flughafen","der","noun","airport","Wir fahren zum Flughafen.","We're going to the airport.","Transport & Travel","A1.3"
"Haltestelle","die","noun","stop (bus/tram)","Die Haltestelle ist um die Ecke.","The stop is around the corner.","Transport & Travel","A1.3"
"Fahrkarte","die","noun","ticket","Ich kaufe eine Fahrkarte.","I buy a ticket.","Transport & Travel","A1.1"
"Fahrkarten","die","noun (pl)","tickets","Die Fahrkarten sind teuer.","The tickets are expensive.","Transport & Travel","A1.1"
"Ticket","das","noun","ticket","Haben Sie ein Ticket?","Do you have a ticket?","Transport & Travel","A1.3"
"Tickets","die","noun (pl)","tickets","Wir kaufen zwei Tickets.","We buy two tickets.","Transport & Travel","A1.3"
"Abfahrt","die","noun","departure","Die Abfahrt ist um zehn Uhr.","The departure is at ten o'clock.","Transport & Travel","A1.3"
"Ankunft","die","noun","arrival","Die Ankunft ist um zwölf Uhr.","The arrival is at twelve o'clock.","Transport & Travel","A1.3"
"fahren","","verb","to drive / travel","Ich fahre morgen nach Berlin.","I'm travelling to Berlin tomorrow.","Transport & Travel","A1.1"
"abfahren","","verb","to depart / leave","Der Zug fährt gleich ab.","The train is departing shortly.","Transport & Travel","A1.3"
"ankommen","","verb","to arrive","Wann kommen wir an?","When do we arrive?","Transport & Travel","A1.3"
"fliegen","","verb","to fly","Ich fliege nach Paris.","I'm flying to Paris.","Transport & Travel","A1.3"
"umsteigen","","verb","to change (trains/buses)","Sie müssen in Köln umsteigen.","You need to change at Cologne.","Transport & Travel","A1.3"
"Straße","die","noun","street / road","Die Straße ist sehr breit.","The street is very wide.","Transport & Travel","A1.1"
"Straßen","die","noun (pl)","streets / roads","Die Straßen sind voll.","The streets are busy.","Transport & Travel","A1.1"
"Weg","der","noun","way / path","Wie ist der Weg zum Bahnhof?","What is the way to the train station?","Transport & Travel","A1.3"
"Wege","die","noun (pl)","ways / paths","Es gibt zwei Wege zum Bahnhof.","There are two ways to the train station.","Transport & Travel","A1.3"
"Richtung","die","noun","direction","In welche Richtung gehen wir?","In which direction are we going?","Transport & Travel","A1.3"
"Richtungen","die","noun (pl)","directions","Die Richtungen sind klar.","The directions are clear.","Transport & Travel","A1.3"
"links","","adv","left","Biegen Sie links ab.","Turn left.","Transport & Travel","A1.1"
"rechts","","adv","right","Das Geschäft ist rechts.","The shop is on the right.","Transport & Travel","A1.1"
"geradeaus","","adv","straight ahead","Gehen Sie geradeaus.","Go straight ahead.","Transport & Travel","A1.1"
"weit","","adj/adv","far","Ist das weit von hier?","Is that far from here?","Transport & Travel","A1.2"
"nah","","adj/adv","near / close","Das Hotel ist nah am Bahnhof.","The hotel is near the train station.","Transport & Travel","A1.2"
"Entfernung","die","noun","distance","Was ist die Entfernung?","What is the distance?","Transport & Travel","A1.3"
"Kilometer","der","noun","kilometre","Der Ort ist zehn Kilometer entfernt.","The place is ten kilometres away.","Transport & Travel","A1.3"
"Kilometer","die","noun (pl)","kilometres","Wir fahren hundert Kilometer.","We drive one hundred kilometres.","Transport & Travel","A1.3"
"Parkplatz","der","noun","car park / parking space","Ich suche einen Parkplatz.","I'm looking for a parking space.","Transport & Travel","A1.3"
"Parkplätze","die","noun (pl)","parking spaces","Es gibt wenig Parkplätze.","There are few parking spaces.","Transport & Travel","A1.3"
"Benzin","das","noun","petrol / fuel","Ich tanke Benzin.","I'm filling up with petrol.","Transport & Travel","A1.3"
"Tankstelle","die","noun","petrol station","Die Tankstelle ist um die Ecke.","The petrol station is around the corner.","Transport & Travel","A1.3"
"Gepäck","das","noun","luggage / baggage","Mein Gepäck ist schwer.","My luggage is heavy.","Transport & Travel","A1.3"
"Koffer","der","noun","suitcase","Ich packe meinen Koffer.","I'm packing my suitcase.","Transport & Travel","A1.3"
"Koffer","die","noun (pl)","suitcases","Die Koffer sind schwer.","The suitcases are heavy.","Transport & Travel","A1.3"
"Reise","die","noun","journey / trip / travel","Die Reise dauert drei Stunden.","The journey takes three hours.","Transport & Travel","A1.3"
"Reisen","die","noun (pl)","journeys / trips","Ich mache viele Reisen.","I go on many trips.","Transport & Travel","A1.3"
"Hotel","das","noun","hotel","Wir übernachten im Hotel.","We are staying overnight in the hotel.","Transport & Travel","A1.3"
"Hotels","die","noun (pl)","hotels","Die Hotels in der Stadt sind teuer.","The hotels in the city are expensive.","Transport & Travel","A1.3"
"Zimmer reservieren","","phrase","to reserve a room","Ich möchte ein Zimmer reservieren.","I would like to reserve a room.","Transport & Travel","A1.2"
"Gesundheit","die","noun","health","Gesundheit ist sehr wichtig.","Health is very important.","Health","A1.2"
"krank","","adj","ill / sick","Ich bin krank und gehe zum Arzt.","I am ill and going to the doctor.","Health","A1.1"
"gesund","","adj","healthy","Ich fühle mich gesund.","I feel healthy.","Health","A1.1"
"Schmerz","der","noun","pain","Ich habe Schmerzen.","I am in pain.","Health","A1.1"
"Schmerzen","die","noun (pl)","pains","Die Schmerzen sind sehr stark.","The pains are very strong.","Health","A1.1"
"Kopfschmerzen","die","noun (pl)","headache","Ich habe Kopfschmerzen.","I have a headache.","Health","A1.1"
"Bauchschmerzen","die","noun (pl)","stomach ache","Das Kind hat Bauchschmerzen.","The child has a stomach ache.","Health","A1.3"
"Fieber","das","noun","fever / temperature","Ich habe Fieber.","I have a fever.","Health","A1.3"
"Erkältung","die","noun","cold (illness)","Ich habe eine Erkältung.","I have a cold.","Health","A1.3"
"Husten","der","noun","cough","Ich habe starken Husten.","I have a bad cough.","Health","A1.3"
"Arztpraxis","die","noun","doctor's surgery","Ich gehe zur Arztpraxis.","I'm going to the doctor's surgery.","Health","A1.3"
"Arztpraxen","die","noun (pl)","doctors' surgeries","Es gibt viele Arztpraxen hier.","There are many doctors' surgeries here.","Health","A1.3"
"Krankenhaus","das","noun","hospital","Er liegt im Krankenhaus.","He is in hospital.","Health","A1.1"
"Apotheke","die","noun","pharmacy / chemist","Ich hole Medikamente aus der Apotheke.","I pick up medicine from the pharmacy.","Health","A1.3"
"Medikament","das","noun","medicine / medication","Der Arzt verschreibt ein Medikament.","The doctor prescribes a medicine.","Health","A1.3"
"Medikamente","die","noun (pl)","medicines","Ich nehme meine Medikamente.","I take my medicines.","Health","A1.3"
"Tablette","die","noun","tablet / pill","Nehmen Sie drei Tabletten pro Tag.","Take three tablets per day.","Health","A1.3"
"Tabletten","die","noun (pl)","tablets / pills","Die Tabletten helfen gut.","The tablets work well.","Health","A1.3"
"Krankenkasse","die","noun","health insurance","Ich habe eine Krankenkasse.","I have health insurance.","Health","A1.3"
"Krankenversicherung","die","noun","health insurance","Haben Sie eine Krankenversicherung?","Do you have health insurance?","Health","A1.3"
"Allergie","die","noun","allergy","Ich habe eine Allergie gegen Nüsse.","I have an allergy to nuts.","Health","A1.3"
"Allergien","die","noun (pl)","allergies","Er hat viele Allergien.","He has many allergies.","Health","A1.3"
"Unfall","der","noun","accident","Es gab einen Unfall.","There was an accident.","Health","A1.3"
"Unfälle","die","noun (pl)","accidents","Auf dieser Straße gibt es viele Unfälle.","There are many accidents on this road.","Health","A1.3"
"Notaufnahme","die","noun","A&E / emergency room","Fahren Sie zur Notaufnahme.","Go to A&E.","Health","A1.3"
"Notruf","der","noun","emergency call","Der Notruf ist 112.","The emergency number is 112.","Health","A1.3"
"Schule","die","noun","school","Die Kinder gehen zur Schule.","The children go to school.","Education","A1.1"
"Schulen","die","noun (pl)","schools","In dieser Stadt gibt es viele Schulen.","There are many schools in this city.","Education","A1.2"
"Universität","die","noun","university","Ich studiere an der Universität.","I study at the university.","Education","A1.3"
"Universitäten","die","noun (pl)","universities","Deutschland hat viele Universitäten.","Germany has many universities.","Education","A1.3"
"Hochschule","die","noun","university / college","Er geht an die Hochschule.","He goes to university.","Education","A1.3"
"Sprachschule","die","noun","language school","Ich lerne an einer Sprachschule.","I'm learning at a language school.","Education","A1.3"
"Kurs","der","noun","course","Ich mache einen Deutschkurs.","I am doing a German course.","Education","A1.3"
"Kurse","die","noun (pl)","courses","Ich mache zwei Kurse.","I am doing two courses.","Education","A1.3"
"Unterricht","der","noun","lesson / class","Der Unterricht beginnt um acht Uhr.","The lesson begins at eight o'clock.","Education","A1.3"
"Hausaufgaben","die","noun (pl)","homework","Ich mache meine Hausaufgaben.","I'm doing my homework.","Education","A1.3"
"Prüfung","die","noun","exam / test","Morgen habe ich eine Prüfung.","Tomorrow I have an exam.","Education","A1.3"
"Prüfungen","die","noun (pl)","exams / tests","Ich habe drei Prüfungen.","I have three exams.","Education","A1.3"
"Test","der","noun","test","Ich lerne für den Test.","I'm studying for the test.","Education","A1.3"
"Note","die","noun","grade / mark","Ich habe eine gute Note.","I have a good grade.","Education","A1.3"
"Noten","die","noun (pl)","grades / marks","Meine Noten sind gut.","My grades are good.","Education","A1.3"
"Übung","die","noun","exercise / practice","Diese Übung ist schwer.","This exercise is difficult.","Education","A1.3"
"Übungen","die","noun (pl)","exercises / practices","Die Übungen sind schwer.","The exercises are difficult.","Education","A1.3"
"Aufgabe","die","noun","task / exercise","Die Aufgabe ist einfach.","The task is easy.","Education","A1.3"
